"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 31 10:52:08 GMT 2024","Wed Jan 31 10:52:09 GMT 2024","254","Auth","Refresh Token","","","","RefreshToken- Empty Email field",""
"passed","Wed Jan 31 10:52:07 GMT 2024","Wed Jan 31 10:52:07 GMT 2024","250","Auth","Send OTP to Registered Email","","","","RegisterSendMail- Empty Medium field",""
"passed","Wed Jan 31 10:52:10 GMT 2024","Wed Jan 31 10:52:10 GMT 2024","232","Auth","Forgot Password Verification","","","","ForgotPasswordVerify",""
"passed","Wed Jan 31 10:52:10 GMT 2024","Wed Jan 31 10:52:11 GMT 2024","233","Auth","Forgot Password Verification","","","","ForgotPasswordVerify- Empty Token field",""
"broken","Wed Jan 31 10:52:07 GMT 2024","Wed Jan 31 10:52:07 GMT 2024","122","Auth","Registration Verification","","","","RegisterationVerify- Empty Token field",""
"passed","Wed Jan 31 10:52:10 GMT 2024","Wed Jan 31 10:52:10 GMT 2024","247","Auth","Forgot Password Verification","","","","ForgotPasswordVerify- Empty Email field",""
"passed","Wed Jan 31 10:52:08 GMT 2024","Wed Jan 31 10:52:08 GMT 2024","252","Auth","Refresh Token","","","","RefreshToken",""
"broken","Wed Jan 31 10:52:07 GMT 2024","Wed Jan 31 10:52:07 GMT 2024","31","Auth","Registration Verification","","","","RegisterationVerify- Empty Email field",""
"failed","Wed Jan 31 10:52:06 GMT 2024","Wed Jan 31 10:52:06 GMT 2024","259","Auth","Register","","","","Register- Empty Password Field",""
"failed","Wed Jan 31 10:52:06 GMT 2024","Wed Jan 31 10:52:06 GMT 2024","256","Auth","Register","","","","Register-Empty Date of Birth Field",""
"failed","Wed Jan 31 10:52:04 GMT 2024","Wed Jan 31 10:52:04 GMT 2024","256","Auth","Register","","","","Register- Already registered PhoneNo",""
"failed","Wed Jan 31 10:52:04 GMT 2024","Wed Jan 31 10:52:04 GMT 2024","263","Auth","Register","","","","Register- Empty First name field",""
"failed","Wed Jan 31 10:52:08 GMT 2024","Wed Jan 31 10:52:08 GMT 2024","260","Auth","Login","","","","Login- Empty Channel field",""
"broken","Wed Jan 31 10:52:07 GMT 2024","Wed Jan 31 10:52:07 GMT 2024","165","Auth","Registration Verification","","","","RegisterationVerify- Successful",""
"failed","Wed Jan 31 10:52:04 GMT 2024","Wed Jan 31 10:52:05 GMT 2024","262","Auth","Register","","","","Register- Empty Last name field",""
"failed","Wed Jan 31 10:52:05 GMT 2024","Wed Jan 31 10:52:05 GMT 2024","274","Auth","Register","","","","Register- Empty Gender Field",""
"failed","Wed Jan 31 10:52:05 GMT 2024","Wed Jan 31 10:52:06 GMT 2024","248","Auth","Register","","","","Register- Empty Phone number field",""
"failed","Wed Jan 31 10:52:04 GMT 2024","Wed Jan 31 10:52:04 GMT 2024","339","Auth","Register","","","","Register- Already Registered Email",""
"passed","Wed Jan 31 10:52:10 GMT 2024","Wed Jan 31 10:52:10 GMT 2024","253","Auth","Send Email-Forgot Password","","","","ForgotPasswordSendMail- Empty Medium field",""
"passed","Wed Jan 31 10:52:09 GMT 2024","Wed Jan 31 10:52:09 GMT 2024","233","Auth","Send Email-Forgot Password","","","","ForgotPasswordSendMail-Successful",""
"failed","Wed Jan 31 10:52:07 GMT 2024","Wed Jan 31 10:52:08 GMT 2024","256","Auth","Login","","","","Login",""
"passed","Wed Jan 31 10:52:07 GMT 2024","Wed Jan 31 10:52:07 GMT 2024","262","Auth","Send OTP to Registered Email","","","","RegisterSendMail- Empty Email field",""
"passed","Wed Jan 31 10:52:09 GMT 2024","Wed Jan 31 10:52:09 GMT 2024","244","Auth","Refresh Token","","","","RefreshToken- Empty RefreshToken field",""
"passed","Wed Jan 31 10:52:09 GMT 2024","Wed Jan 31 10:52:09 GMT 2024","254","Auth","Send Email-Forgot Password","","","","ForgotPasswordSendMail- Empty Email field",""
"failed","Wed Jan 31 10:52:05 GMT 2024","Wed Jan 31 10:52:05 GMT 2024","263","Auth","Register","","","","Register- Empty Address Field",""
"passed","Wed Jan 31 10:52:09 GMT 2024","Wed Jan 31 10:52:10 GMT 2024","245","Auth","Send Email-Forgot Password","","","","ForgotPasswordSendMail- Empty DOB field",""
"failed","Wed Jan 31 10:52:06 GMT 2024","Wed Jan 31 10:52:06 GMT 2024","272","Auth","Register","","","","Register- Empty Email Address",""
"failed","Wed Jan 31 10:52:03 GMT 2024","Wed Jan 31 10:52:04 GMT 2024","435","Auth","Register","","","","Register- Successful",""
"failed","Wed Jan 31 10:52:08 GMT 2024","Wed Jan 31 10:52:08 GMT 2024","264","Auth","Login","","","","Login- Empty Password",""
"passed","Wed Jan 31 10:52:06 GMT 2024","Wed Jan 31 10:52:07 GMT 2024","257","Auth","Send OTP to Registered Email","","","","RegisterSendMail",""
